Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C6A 16xlarge Extra Large,c6a.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.448 hourly,$1.6194 hourly,$0.9438 hourly,$5.392 hourly,$1.6194 hourly
C6A 24xlarge,c6a.24xlarge,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$3.672 hourly,$2.429 hourly,$1.3217 hourly,$8.088 hourly,$6.845 hourly
C6A 32xlarge,c6a.32xlarge,256 GiB,128 vCPUs,EBS only,50 Gigabit,$4.896 hourly,$3.2387 hourly,$1.8346 hourly,$10.784 hourly,$9.1267 hourly
C6A 48xlarge,c6a.48xlarge,384 GiB,192 vCPUs,EBS only,50 Gigabit,$7.344 hourly,$4.8581 hourly,$2.6221 hourly,$16.176 hourly,$13.6901 hourly
C6A Metal,c6a.metal,384 GiB,192 vCPUs,EBS only,50 Gigabit,$7.344 hourly,$4.8581 hourly,$2.6143 hourly,$16.176 hourly,$13.6901 hourly
C6G Medium,c6g.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.034 hourly,$0.0214 hourly,$0.0129 hourly,unavailable,unavailable
C6G Large,c6g.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.068 hourly,$0.0428 hourly,$0.0241 hourly,unavailable,unavailable
C6G Extra Large,c6g.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.136 hourly,$0.0857 hourly,$0.053 hourly,unavailable,unavailable
C6G Double Extra Large,c6g.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.272 hourly,$0.1714 hourly,$0.0936 hourly,unavailable,unavailable
C6G Quadruple Extra Large,c6g.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.544 hourly,$0.3427 hourly,$0.1814 hourly,unavailable,unavailable
C6G Eight Extra Large,c6g.8xlarge,64 GiB,32 vCPUs,EBS only,12 Gigabit,$1.088 hourly,$0.6854 hourly,$0.3666 hourly,unavailable,unavailable
C6G 12xlarge Extra Large,c6g.12xlarge,96 GiB,48 vCPUs,EBS only,20 Gigabit,$1.632 hourly,$1.0282 hourly,$0.5347 hourly,unavailable,unavailable
C6G 16xlarge Extra Large,c6g.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.176 hourly,$1.3709 hourly,$0.7089 hourly,unavailable,unavailable
C6G Metal,c6g.metal,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.176 hourly,$1.3709 hourly,$0.7315 hourly,unavailable,unavailable
C6GD Medium,c6gd.medium,2 GiB,1 vCPUs,59 GB NVMe SSD,Up to 10 Gigabit,$0.0384 hourly,$0.0242 hourly,$0.0125 hourly,unavailable,unavailable
C6GD Large,c6gd.large,4 GiB,2 vCPUs,118 GB NVMe SSD,Up to 10 Gigabit,$0.0768 hourly,$0.0484 hourly,$0.027 hourly,unavailable,unavailable
C6GD Extra Large,c6gd.xlarge,8 GiB,4 vCPUs,237 GB NVMe SSD,Up to 10 Gigabit,$0.1536 hourly,$0.0968 hourly,$0.0598 hourly,unavailable,unavailable
