Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C5N Double Extra Large,c5n.2xlarge,21 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.0206 hourly / GiB,$0.013 hourly / GiB,$0.0083 hourly / GiB,$0.0381 hourly / GiB,$0.0305 hourly / GiB
C5N Quadruple Extra Large,c5n.4xlarge,42 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$0.0206 hourly / GiB,$0.013 hourly / GiB,$0.0084 hourly / GiB,$0.0381 hourly / GiB,$0.0305 hourly / GiB
C5N 9xlarge,c5n.9xlarge,96 GiB,36 vCPUs,EBS only,50 Gigabit,$0.0203 hourly / GiB,$0.0128 hourly / GiB,$0.0069 hourly / GiB,$0.0375 hourly / GiB,$0.03 hourly / GiB
C5N 18xlarge,c5n.18xlarge,192 GiB,72 vCPUs,EBS only,100 Gigabit,$0.0203 hourly / GiB,$0.0128 hourly / GiB,$0.0074 hourly / GiB,$0.0375 hourly / GiB,$0.03 hourly / GiB
C5N Metal,c5n.metal,192 GiB,72 vCPUs,EBS only,100 Gigabit,$0.0203 hourly / GiB,$0.0128 hourly / GiB,$0.0067 hourly / GiB,$0.0375 hourly / GiB,$0.03 hourly / GiB
C6A Large,c6a.large,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0079 hourly / GiB,$0.0421 hourly / GiB,$0.0127 hourly / GiB
C6A Extra Large,c6a.xlarge,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0083 hourly / GiB,$0.0421 hourly / GiB,$0.0357 hourly / GiB
C6A Double Extra Large,c6a.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0078 hourly / GiB,$0.0421 hourly / GiB,$0.0127 hourly / GiB
C6A Quadruple Extra Large,c6a.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0083 hourly / GiB,$0.0421 hourly / GiB,$0.0127 hourly / GiB
C6A Eight Extra Large,c6a.8xlarge,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0071 hourly / GiB,$0.0421 hourly / GiB,$0.0357 hourly / GiB
C6A 12xlarge Extra Large,c6a.12xlarge,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0069 hourly / GiB,$0.0421 hourly / GiB,$0.0357 hourly / GiB
C6A 16xlarge Extra Large,c6a.16xlarge,128 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0075 hourly / GiB,$0.0421 hourly / GiB,$0.0127 hourly / GiB
C6A 24xlarge,c6a.24xlarge,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0069 hourly / GiB,$0.0421 hourly / GiB,$0.0127 hourly / GiB
C6A 32xlarge,c6a.32xlarge,256 GiB,128 vCPUs,EBS only,50 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0072 hourly / GiB,$0.0421 hourly / GiB,$0.0357 hourly / GiB
C6A 48xlarge,c6a.48xlarge,384 GiB,192 vCPUs,EBS only,50 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0069 hourly / GiB,$0.0421 hourly / GiB,$0.0357 hourly / GiB
C6A Metal,c6a.metal,384 GiB,192 vCPUs,EBS only,50 Gigabit,$0.0191 hourly / GiB,$0.0127 hourly / GiB,$0.0067 hourly / GiB,$0.0421 hourly / GiB,$0.0357 hourly / GiB
C6G Medium,c6g.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.0067 hourly / GiB,unavailable,unavailable
C6G Large,c6g.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.006 hourly / GiB,unavailable,unavailable
C6G Extra Large,c6g.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.017 hourly / GiB,$0.0107 hourly / GiB,$0.0067 hourly / GiB,unavailable,unavailable
