Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R5B Eight Extra Large,r5b.8xlarge,256 GiB,32 vCPUs,EBS only,10 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0353 hourly / vCPU,$0.1205 hourly / vCPU,$0.0469 hourly / vCPU
R5B 12xlarge Extra Large,r5b.12xlarge,384 GiB,48 vCPUs,EBS only,12 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0325 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5B 16xlarge Extra Large,r5b.16xlarge,512 GiB,64 vCPUs,EBS only,20 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0335 hourly / vCPU,$0.1205 hourly / vCPU,$0.0469 hourly / vCPU
R5B 24xlarge,r5b.24xlarge,768 GiB,96 vCPUs,EBS only,25 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0315 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5B Metal,r5b.metal,768 GiB,96 vCPUs,EBS only,25 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0259 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
R5D Large,r5d.large,16 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,$0.072 hourly / vCPU,$0.0455 hourly / vCPU,$0.0283 hourly / vCPU,$0.118 hourly / vCPU,$0.0915 hourly / vCPU
R5D Extra Large,r5d.xlarge,32 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.072 hourly / vCPU,$0.0453 hourly / vCPU,$0.0376 hourly / vCPU,$0.118 hourly / vCPU,$0.0913 hourly / vCPU
R5D Double Extra Large,r5d.2xlarge,64 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.072 hourly / vCPU,$0.0454 hourly / vCPU,$0.0385 hourly / vCPU,$0.118 hourly / vCPU,$0.0914 hourly / vCPU
R5D Quadruple Extra Large,r5d.4xlarge,128 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$0.072 hourly / vCPU,$0.0454 hourly / vCPU,$0.0379 hourly / vCPU,$0.118 hourly / vCPU,$0.0914 hourly / vCPU
R5D Eight Extra Large,r5d.8xlarge,256 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$0.072 hourly / vCPU,$0.0454 hourly / vCPU,$0.0267 hourly / vCPU,$0.118 hourly / vCPU,$0.0914 hourly / vCPU
R5D 12xlarge Extra Large,r5d.12xlarge,384 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$0.072 hourly / vCPU,$0.0454 hourly / vCPU,$0.0266 hourly / vCPU,$0.118 hourly / vCPU,$0.0914 hourly / vCPU
R5D 16xlarge Extra Large,r5d.16xlarge,512 GiB,64 vCPUs,2400 GB (4×600 GB NVMe SSD),20 Gigabit,$0.072 hourly / vCPU,$0.0454 hourly / vCPU,$0.0242 hourly / vCPU,$0.118 hourly / vCPU,$0.0914 hourly / vCPU
R5D 24xlarge,r5d.24xlarge,768 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$0.072 hourly / vCPU,$0.0454 hourly / vCPU,$0.0245 hourly / vCPU,$0.118 hourly / vCPU,$0.0914 hourly / vCPU
R5D Metal,r5d.metal,768 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$0.072 hourly / vCPU,$0.0454 hourly / vCPU,$0.0244 hourly / vCPU,$0.118 hourly / vCPU,$0.0914 hourly / vCPU
R5DN Large,r5dn.large,16 GiB,2 vCPUs,75 GB NVMe SSD,Up to 25 Gigabit,$0.0835 hourly / vCPU,$0.0525 hourly / vCPU,$0.0319 hourly / vCPU,$0.1295 hourly / vCPU,$0.0985 hourly / vCPU
R5DN Extra Large,r5dn.xlarge,32 GiB,4 vCPUs,150 GB NVMe SSD,Up to 25 Gigabit,$0.0835 hourly / vCPU,$0.0525 hourly / vCPU,$0.0373 hourly / vCPU,$0.1295 hourly / vCPU,$0.0985 hourly / vCPU
