Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C8GN Metal-24xl,c8gn.metal-24xl,192 GiB,96 vCPUs,EBS only,300 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN Metal-48xl,c8gn.metal-48xl,384 GiB,192 vCPUs,EBS only,600 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
Cluster Compute Eight Extra Large,cc2.8xlarge,60.5 GiB,32 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,$0.0734 hourly / vCPU,unavailable
High Memory Cluster Eight Extra Large,cr1.8xlarge,244 GiB,32 vCPUs,EBS only,10 Gigabit,$0.1283 hourly / vCPU,unavailable,unavailable,$0.1381 hourly / vCPU,unavailable
D2 Extra Large,d2.xlarge,30.5 GiB,4 vCPUs,6144 GB (3×2048 GB HDD),Moderate,$0.211 hourly / vCPU,$0.1323 hourly / vCPU,$0.0508 hourly / vCPU,$0.2438 hourly / vCPU,$0.1498 hourly / vCPU
D2 Double Extra Large,d2.2xlarge,61 GiB,8 vCPUs,12288 GB (6×2048 GB HDD),High,$0.211 hourly / vCPU,$0.1323 hourly / vCPU,$0.0507 hourly / vCPU,$0.2386 hourly / vCPU,$0.1423 hourly / vCPU
D2 Quadruple Extra Large,d2.4xlarge,122 GiB,16 vCPUs,24576 GB (12×2048 GB HDD),High,$0.211 hourly / vCPU,$0.1323 hourly / vCPU,$0.0527 hourly / vCPU,$0.2299 hourly / vCPU,$0.1373 hourly / vCPU
D2 Eight Extra Large,d2.8xlarge,244 GiB,36 vCPUs,49152 GB (24×2048 GB HDD),10 Gigabit,$0.1876 hourly / vCPU,$0.1176 hourly / vCPU,$0.0494 hourly / vCPU,$0.2064 hourly / vCPU,$0.1198 hourly / vCPU
D3 Extra Large,d3.xlarge,32 GiB,4 vCPUs,5940 GB (3×1980 GB NVMe HDD),Up to 15 Gigabit,$0.181 hourly / vCPU,$0.114 hourly / vCPU,$0.0415 hourly / vCPU,$0.227 hourly / vCPU,$0.16 hourly / vCPU
D3 Double Extra Large,d3.2xlarge,64 GiB,8 vCPUs,11880 GB (6×1980 GB NVMe HDD),Up to 15 Gigabit,$0.181 hourly / vCPU,$0.114 hourly / vCPU,$0.0465 hourly / vCPU,$0.227 hourly / vCPU,$0.16 hourly / vCPU
D3 Quadruple Extra Large,d3.4xlarge,128 GiB,16 vCPUs,23760 GB (12×1980 GB NVMe HDD),Up to 15 Gigabit,$0.1811 hourly / vCPU,$0.1141 hourly / vCPU,$0.0426 hourly / vCPU,$0.2271 hourly / vCPU,$0.1601 hourly / vCPU
D3 Eight Extra Large,d3.8xlarge,256 GiB,32 vCPUs,47520 GB (24×1980 GB NVMe HDD),25 Gigabit,$0.181 hourly / vCPU,$0.1141 hourly / vCPU,$0.0412 hourly / vCPU,$0.227 hourly / vCPU,$0.1601 hourly / vCPU
D3EN Large,d3en.large,8 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3EN Extra Large,d3en.xlarge,16 GiB,4 vCPUs,27960 GB (2×13980 GB NVMe HDD),Up to 25 Gigabit,$0.1905 hourly / vCPU,$0.12 hourly / vCPU,$0.0471 hourly / vCPU,$0.2365 hourly / vCPU,$0.166 hourly / vCPU
D3EN Double Extra Large,d3en.2xlarge,32 GiB,8 vCPUs,55920 GB (4×13980 GB NVMe HDD),Up to 25 Gigabit,$0.1906 hourly / vCPU,$0.12 hourly / vCPU,$0.0452 hourly / vCPU,$0.2366 hourly / vCPU,$0.12 hourly / vCPU
